#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
22670097,47.264668,-123.44583,152.7,4762.91,0.5,0.53,-13.85,-30.12,47.2644816,-123.4471029,153.75
4506 ngs,47.003166,-123.4345,13.7,4789.6,0.05,-0.01,-6.41,-7.93,47.002984,-123.4357703,14.72
2267 ngs,47.278831,-123.43283,175.3,4768,0.05,0.81,-3.06,-22.07,47.2786444,-123.4341029,176.35
3004 ngs,48.116001,-123.43166,24.9,4861.4,0.03,1.69,-31.52,-32.62,48.1158136,-123.4329569,25.98
1083 ngs,48.116665,-123.43166,24.3,4861.1,0.04,1.67,-32.06,-33.11,48.1164776,-123.4329569,25.38
1083000,48.116665,-123.43166,24.3,4861.15,0.04,1.67,-32.01,-33.06,48.1164776,-123.4329569,25.38
5059 ngs,48.039001,-123.42917,526.3,4762.6,1.42,6.46,31.24,-20.47,48.0388137,-123.4304664,527.4
2267 ngs,47.823334,-123.42817,938.8,4588.4,9.68,9.5,3.65,-83.33,47.8231458,-123.4294604,940.03
22672015,47.823334,-123.42817,938.8,4588.39,9.68,9.5,3.64,-83.34,47.8231458,-123.4294604,940.03
4506 ngs,48.041,-123.4275,554.6,4764.1,0.54,5.63,41.29,-15.33,48.0408127,-123.4287964,555.7
5198 ngs,47.950832,-123.42667,1707.5,4469.21,9.58,19.71,109.92,-53.4,47.9506448,-123.4279645,1708.72
51980078,47.950832,-123.42667,1707.5,4469.23,9.58,19.71,109.94,-53.38,47.9506448,-123.4279645,1708.72
5059 ngs,48.099667,-123.425,115.8,4841.1,0.17,2.1,-22.31,-33.17,48.0994797,-123.4262967,116.86
4506 ngs,48.096001,-123.42133,131.1,4836.8,0.08,2.21,-21.56,-34.13,48.0958137,-123.4226265,132.16
22670102,47.269669,-123.42,159.7,4767.64,0.21,0.64,-7.41,-24.66,47.2694826,-123.4212723,160.75
2267 ngs,47.269669,-123.41983,159.7,4767.6,0.22,0.64,-7.45,-24.69,47.2694826,-123.4211023,160.75
5198 ngs,48.054668,-123.41866,489.4,4776.6,1.86,4.48,32.45,-16.63,48.0544807,-123.4199562,490.48
51980014,48.054668,-123.41866,489.4,4776.6,1.86,4.48,32.45,-16.63,48.0544807,-123.4199562,490.48
22670278,48.113167,-123.418,28.3,4858.51,0.08,1.73,-33.1,-34.5,48.1129797,-123.4192966,29.38
2267 ngs,48.113167,-123.41783,28.3,4858.5,0.08,1.73,-33.11,-34.51,48.1129797,-123.4191266,29.38
5198 ngs,47.447834,-123.41766,232,4773.8,1.34,9.16,4.97,-10.82,47.4476452,-123.4189369,233.09
51980008,47.448002,-123.41766,232,4773.8,1.46,9.24,4.96,-10.64,47.4478131,-123.4189369,233.09
