#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
4735 ngs,41.645332,-121.96983,1414,3877,0.05,0.87,-3.14,-161.87,41.6452063,-121.9709462,1415.2
2713 ngs,41.707832,-121.96983,1335.9,3898.71,0.05,0.86,-11.12,-161.09,41.7077052,-121.9709465,1337.08
774888,41.492168,-121.96967,1877.5,3766.64,6.74,3.51,43.13,-158.3,41.4920447,-121.9707854,1878.8
2773 ngs,41.700832,-121.96667,1343.5,3897.4,0.04,0.84,-9.46,-160.31,41.7007053,-121.9677864,1344.68
2773  72,41.700832,-121.96667,1343.5,3897.37,0.04,0.84,-9.49,-160.34,41.7007053,-121.9677864,1344.68
5675 ngs,41.426834,-121.96584,1562.4,3825.89,0.33,2.9,11.12,-161.98,41.426712,-121.9669539,1563.62
2773 ngs,41.427166,-121.96533,1566.3,3826.1,0.24,2.92,12.51,-161.1,41.427044,-121.9664439,1567.52
774892,41.424168,-121.96467,1537,3826.69,0.28,2.77,4.33,-166.09,41.4240461,-121.9657838,1538.22
774889,41.489166,-121.96416,1683.7,3810.44,1.03,4.83,27.47,-156.62,41.4890427,-121.9652752,1684.99
2713 ngs,41.865833,-121.96333,1292,3918.1,0.11,0.31,-19.47,-164.99,41.8657035,-121.9644471,1293.16
27130092,41.866001,-121.96333,1292,3918.05,0.1,0.31,-19.54,-165.07,41.8658715,-121.9644471,1293.16
2713 ngs,41.426834,-121.96333,1562.4,3825.8,0.17,2.88,11.03,-162.25,41.426712,-121.9644438,1563.62
774879,41.578999,-121.96317,1561.5,3836.56,0.34,2.22,7.85,-165.82,41.5788746,-121.9642858,1562.75
2773 ngs,41.335835,-121.96067,1199.1,3894.9,0.02,1.19,-23.7,-157.98,41.335715,-121.9617818,1200.22
2773  81,41.335999,-121.96067,1199.1,3894.86,0.02,1.19,-23.76,-158.03,41.335879,-121.9617818,1200.22
27130356,41.556168,-121.96,1802.3,3783.1,1.53,4.2,30.66,-166.86,41.5560441,-121.9611156,1803.58
27130582,41.401669,-121.96,1381.7,3860.14,0.13,2.07,-8.07,-161.9,41.4015475,-121.9611132,1382.87
2713 ngs,41.556168,-121.95983,1802.3,3783.1,1.58,4.2,30.66,-166.81,41.5560441,-121.9609456,1803.58
2713 ngs,41.401669,-121.95983,1381.7,3860.1,0.13,2.07,-8.11,-161.94,41.4015475,-121.9609432,1382.87
2720 ngs,41.766167,-121.95917,1316.7,3906.6,0.03,0.52,-14.4,-162.56,41.7660397,-121.9602865,1317.87
27200713,41.766167,-121.95917,1316.7,3906.6,0.03,0.52,-14.4,-162.56,41.7660397,-121.9602865,1317.87
2713 ngs,41.765835,-121.95834,1316.7,3906.1,0.04,0.52,-14.87,-163.02,41.7657077,-121.9594565,1317.87
27130253,41.765835,-121.95834,1316.7,3906.14,0.04,0.52,-14.83,-162.98,41.7657077,-121.9594565,1317.87
2773 ngs,41.593334,-121.95683,1466.1,3858.8,0.01,1.48,-0.6,-164.63,41.5932094,-121.9579457,1467.32
2773 404,41.593498,-121.95683,1466.1,3858.82,0.01,1.47,-0.6,-164.63,41.5933734,-121.9579457,1467.32
2713 ngs,41.836834,-121.95667,1329.2,3905.71,0.14,0.37,-17.79,-167.4,41.8367052,-121.9577867,1330.36
27130215,41.837002,-121.95667,1329.2,3905.71,0.14,0.37,-17.8,-167.41,41.8368732,-121.9577867,1330.36
2713 ngs,41.981167,-121.95667,1298.1,3950.3,0.08,0.47,4.23,-141.84,41.981035,-121.9577873,1299.25
27130626,41.981167,-121.95667,1298.1,3950.26,0.08,0.47,4.19,-141.88,41.981035,-121.9577873,1299.25
2713 ngs,41.353832,-121.95667,1212.2,3891.9,0.01,1.41,-24.28,-159.82,41.3537116,-121.9577821,1213.34
27130337,41.353832,-121.95667,1212.2,3891.93,0.01,1.41,-24.25,-159.79,41.3537116,-121.9577821,1213.34
2720 ngs,41.357334,-121.95667,1219.2,3891.9,0.01,1.43,-22.43,-158.74,41.3572135,-121.9577822,1220.34
27200757,41.357334,-121.95667,1219.2,3891.89,0.01,1.43,-22.44,-158.75,41.3572135,-121.9577822,1220.34
774878,41.593666,-121.9565,1479.6,3859.06,0.11,1.43,3.79,-161.7,41.5935414,-121.9576157,1480.82
2773 ngs,41.966835,-121.95634,1294.5,3947.4,0.12,0.33,1.51,-144.26,41.9667033,-121.9574573,1295.65
5025276,41.981167,-121.956,1298.1,3949.92,0.08,0.47,3.85,-142.22,41.981035,-121.9571173,1299.25
27130583,41.375999,-121.955,1236.3,3887.78,0.12,1.79,-22.96,-160.72,41.3758781,-121.9561125,1237.45
2713 ngs,41.375832,-121.95483,1236.3,3887.8,0.11,1.78,-22.92,-160.7,41.3757111,-121.9559425,1237.45
2713 ngs,41.910332,-121.95333,1291.4,3924.9,0.15,0.26,-16.86,-162.32,41.9102016,-121.9544469,1292.55
27130090,41.9105,-121.95333,1291.4,3924.92,0.15,0.26,-16.86,-162.32,41.9103696,-121.9544469,1292.55
27200695,41.909832,-121.9525,1291.3,3925.19,0.18,0.27,-16.56,-161.96,41.9097016,-121.9536169,1292.45
2720 ngs,41.909832,-121.95233,1291.3,3925.21,0.18,0.26,-16.54,-161.95,41.9097016,-121.9534469,1292.45
5675 ngs,41.686001,-121.95233,1353.9,3890.21,0.55,0.87,-12.11,-163.59,41.6858746,-121.9534459,1355.08
5675 ngs,41.646835,-121.95216,1396.5,3880.03,0.02,0.79,-5.64,-162.52,41.6467093,-121.9532758,1397.69
2773  57,41.911167,-121.952,1291.7,3925.01,0.18,0.26,-16.73,-162.2,41.9110366,-121.9531169,1292.85
2773 ngs,41.911167,-121.95184,1291.7,3925,0.17,0.26,-16.74,-162.22,41.9110366,-121.9529568,1292.85
2713 ngs,41.646835,-121.94984,1396.6,3880,0.01,0.77,-5.64,-162.56,41.6467093,-121.9509557,1397.79
2713 ngs,41.685833,-121.94984,1353.9,3890.1,0.44,0.85,-12.21,-163.82,41.6857066,-121.9509559,1355.08
2713 ngs,41.609665,-121.94483,1438.7,3866.4,0.01,1,-2.92,-164.34,41.6095401,-121.9459454,1439.9
5675 156,41.609665,-121.94217,1438.6,3866.53,0,0.99,-2.82,-164.25,41.6095401,-121.9432854,1439.8
2713 ngs,41.369335,-121.94167,1234.7,3888.4,0.05,1.66,-22.23,-160.01,41.3692142,-121.9427821,1235.85
27130338,41.369499,-121.94167,1234.7,3888.4,0.04,1.66,-22.25,-160.04,41.3693782,-121.9427821,1235.85
5675 ngs,41.580002,-121.9405,1471.5,3856.69,0.06,1.67,0.15,-164.24,41.5798777,-121.9416152,1472.73
